TOWN,PCODE
BERGVLEI Boxes,2012
BERGVLIET  Streets,7785
BERGVLIET Boxes,7864
"BERGZICHT, Muizenberg",7945
"BERKSHIRE DOWNS, Pinetown",3610
BERLIN (NTABOZUKO),5660
"BERNADINO HEIGHTS, Kraaifontein",7570
"BEROMA, Bellville",7530
"BERTON PARK, Boksburg",1459
"BERTRAMS, Johannesburg",2094
BERTSHAM,2013
BERUMDA - Hamilton,Z009
BESTERS,3371
BETHAL,2310
BETHAL NORTH Boxes,2311
"BETHAL NORTH, Bethal",2310
BETHAL-NOORD Busse,2311
"BETHAL-NOORD, Bethal",2310
BETHANIE,0270
"BETHANIE, Cape Town",7550
"BETHELSDORP, Port Elizabeth",6059
BETHLEHEM (Serviced out of Bethlehem),9700
BETHULIE,9992
BETTY'S BAY,7141
BETTYSBAAI,7141
"BEVERLEY GARDENS, Randburg",2194
"BEVERLEY GROVE, Port Elizabeth",6070
"BEVERLEY HILLS, Port Elizabeth",6020
"BEVERLEY HILLS, Westville",3630
"BEVERLY PARK, Eersterivie",7100
"BEYERSPARK & Ext/Uit 3, 6",1459
"BEZ VALLEY, Johannesburg",2094
"BEZUIDENHOUTS VALLEY, Johannesburg",2094
"BEZUIDENHOUTSVALLEI, Johannesburg",2094
BHAMBANANA KZN (Special Trip),3969
BHAMSHELA,4470
"BHEKUZULU, Vryheid (Tuesday & Thursday)",3100
BHISHO (BISHO),5605
"BHONGWENI, Kokstad (Monday, Wednesday, Friday)",4700
BHUTAN,Z009
BIDVEST WALTONS KIMBERLEY,A033
"BIDVEST WALTONS, Johannesburg",A004
"BIERSPRUIT, Rustenburg",0300
BIESIESFONTEIN,8203
BIESIESVLEI,2755
BIG BAY,7441
"BINGLEY, Nylstroom",0436
"BIRCH ACRES & Ext 3,",1619
"BIRCHLEIGH & Ext 6, Kempton",1619
BIRCHLEIGH Boxes,1621
BIRCHLEIGH NORTH & Ext 1,1619
BIRCHLEIGH-NOORD & Uit 1,1619
"BIRDHAVEN, Johannesburg",2196
BIRNAM PARK,2015
"BIRNAM, Johannesburg",2196
BISHO (BHISHO),5605
"BISHOP LAVIS, Lavistown",7490
"BISHOPSCOURT Est/Lgd, Cla",7700
BISHOPSGATE,4008
BISHOPSTOWE,3252
"BISLEY HEIGHTS, Pietermaritzburg",3201
"BISLEY VALLEY, Pietermaritzburg",3201
BITTERFONTEIN,8200
BIZANA,4800
"BLAAUWBANK, Brits",0250
"BLAAUWBANK, Vaalwater",0530
"BLAAUWDRIFT, Welkom",9490
"BLACK RIVER, Rondebosch",7700
BLACKBURN,4319
"BLACKHEATH , Johannesburg",2195
"BLACKHEATH ,Cape Town",7581
"BLACKHEATH, Johannesburg",2195
"BLACKHILL, Witbank",1032
"BLACKHURST, Durban",4001
"BLACKRIDGE, Pietermaritzburg",3201
"BLAIR PARK, Plumstead",7800
"BLAIRGOWRIE, Johannesburg",2194
"BLANCHEVILLE, Witbank/ Emalahleni",1035
BLANCO,6531
"BLANDFORD RIDGE, Bryansto",2021
"BLANWICK PARK, Springs",1559
"BLESBOKFONTEIN, Mpumalanga",1034
"BLESBOKLAAGTE, Witbank/Emalahleni",1039
BLIKFONTEIN,8378
BLINKPAN ( Wednesday Only),2250
BLOEDRIVIER (Tuesday & Thursday),3102
"BLOEKOMVILLE, Klerksdorp",2570
"BLOEMANDA, Bloemfontein",9323
"BLOEMDAL, Bloemfontein",9325
BLOEMENDAL FARM,7800
"BLOEMENDAL, Port Elizabeth",6059
BLOEMFONTEIN,9301
"BLOEMHOEK, Concordia (Special Trip)",8271
BLOEMHOF,2660
"BLOEMHOF, Bellville",7530
"BLOEMSIDE, Bloemfontein",9306
BLOEMSMOND (Special Trip),8810
BLOEMSPRUIT,9364
"BLOEMSPRUIT, Bloemfontein",9364
"BLOMMENDAL, Bellville",7530
"BLOMTUIN Est/Lgd, Bellvil",7530
"BLOMVLEI Est/Lgd, Lansdowne",7780
"BLOMVLEI, Bellville",7530
"BLOOD RIVER, Kwazulu Natal",3102
"BLOOD RIVER, Polokwane",0699
BLOUBERGRANT Boxes,7443
BLOUBERGRANT Streets,7441
"BLOUBERGRANT, Jukskeipark",2153
"BLOUBERGRISE, Tableview",7441
BLOUBERGSTRAND,7441
BLOUBERGSTRAND Boxes,7436
"BLOUBOSRAND, Randburg",2188
"BLUE BEND, East London",5241
"BLUE DOWNS, Eersterivier",7100
"BLUE HEAVEN, Bryanston",2021
"BLUE HEIGHTS, Westville",3630
"BLUE HILLS, Halfway House",1685
BLUE HORIZON BAY,6011
"BLUE HORIZON, Mitchells Plain",7785
"BLUE MOUNTAIN VILLAGE, George",6539
"BLUE RIDGE, Durban North",4051
"BLUE RISE, Queenstown/ Komani",5320
BLUEBERRY HILL FARM,5201
"BLUEGUM, Athlone",7764
"BLUEWATER BAY, Port Elizabeth",6210
BLUFF,4052
"BLUFF, Durban",4052
BLYDE RIVER (Thursday Only),1271
"BLYDEVILLE, Lichtenburg",2740
"BLYDEVILLE, Upington",8800
"BLYTHEDALE BEACH, Stanger/ KwaDukuza",4450
BLYVOORUITSIG,2504
"BO-DORP, Rustenburg",0299
"BOABAB GARDENS, Polokwane",0699
"BOAST VILLAGE, Port Elizabeth",6200
"BOATLAKE VILLAGE, Benoni",1501
"BOCHABELLA, Bloemfontein",9323
BOCHUM (SENSWABARWANA) (Tuesday & Thursday Only),0790
"BODORP, George",6529
BOEKENHOUT,0561
"BOEKENHOUT, Rustenburg",0300
